game	year	problem_type	problem_from_postmortem	antipattern	sw_antipattern	author
A Reckless Disregard for Gravity	2010	planning	We failed to step back at regular intervals to get the big picture, and became mired in the details. We didnt ask the big questions (How does the game look to someone who hasnt been working on it for half a year? What are we missing? How do our post-launch goals affect design?). And it almost killed the project. 	Detailitis Plan	Detailitis Plan	Cunningham
Okamiden	2011	team	Also, by creating an environment that allows everyone to speak freely about what they think about the game, the team would be able to input their own ideas and feel as though they are contributing something to the project. Had the teams been under such management, they would have performed without a problem through simple schedule management and direction.	Emperor's New Clothes	Emperor's New Clothes	Cunningham
Never Alone	2015	cutting-features	For an upcoming milestone, we spent many weeks building a big, nonlinear village environment that featured multiple questgivers. We added the ability to lift small objects and move them around. And most notoriously, we added a "catch fish as they jump out of the water to get enough food for the village for dinner" minigame. Even though it was in service of being stewards of an important culture, that milestone was what we now refer to as "The Dark Ages". (...) We went back to basics and returned to the roots of the project, until it started to look remarkably like what was in those original documents. Before we got there, though, a lot of people spent a lot of time on a lot of concepts that were either barely used or cut entirely.	False Surrogate Endpoint	False Surrogate Endpoint	Cunningham
A Kingdom for Keflings	2009	feature-creep	I know were far from the first developer to tell this sad story. The original design called for a flexible dynamic music system, avoiding the monotony of the standard music loop by using a system of layered, changing riffs and variations. We put huge amounts of time into this from designers and programmers and audio people. We rewrote the code several times, spent many hours massaging the music assets, and wrote pages and pages of scripting. But... While there were moments where it seemed like it was going to work great, the final results were ultimately not acceptable. At the very end of the project we scrapped the dynamic flow of music and rewrote the system one more time, keeping only a simplified version of the dynamic layering of tracks based on city complexity. And even that is a subtlety that was easily not worth the effort we put into it.	False Surrogate Endpoint	False Surrogate Endpoint	Cunningham
Black & White	2001	scope	Leaving things out. The idea of the game didnt really change much over the course of its creation. But I do have some regrets that features we thought would be great proved unworkable. I expected this, as it happens with every project, but I thought the problems would be caused by software or even hardware limitations. In fact, it came down more to emotional issues. For example, the original idea of the Creatures was that a player could choose to make any living thing a Creature. We wanted the player to be able to select an ant and grow that, or a human being from a tribe, and raise him or her. Christian Bravery, one of the artists, spent a long time drawing concept work and sketches depicting what the Creatures could look like at various stages of their development. This of course included humans.	False Surrogate Endpoint	False Surrogate Endpoint	Cunningham
Dead Head Fred	2007	cutting-features	Despite the fact that the primary game mechanic -- collecting heads and using them in different ways -- was in place before we even started development, there were a lot of changes made along the way. Some of these were a result of the large scope of the game. We ended up having to cut some of the mini-games that we had originally planned, to save development time. Unfortunately, the decision to do so was not made early in the development process, so some development time was lost to sections of the game that were ultimately cut.	False Surrogate Endpoint	False Surrogate Endpoint	Cunningham
Music Up	2002	budget	When I came onboard in December of 2001, I noticed that 35 percent of the total budget had been spent with only a 3 minutes demo to show for it. The product needed to ship in the summer of 2002 to catch the re-broadcast of the original series in the major cities and to avoid the strong competition from Sakura III. It had also become clear that we would be seeing an additional investment in the project. A confidential sales report suggested that no single-player PC game would be sold well over the next couple of years in China, even Sakura II. Massively multiplayer games are expected to drive the market, surpassing even the popularity of pirated games.	False Surrogate Endpoint	False Surrogate Endpoint	Cunningham
Frozen Synapse	2012	planning	Single player design was attempted too early, and went down some very significant dead-ends before the decision was taken to completely postpone it until after the multiplayer was done. We kept circling around over-complex ideas, such as a randomly-generated "loss track", base building, and other meta-game considerations when all we actually needed to do was make a fun AI and then create a linear series of levels around it. The long design phase also resulted in periods which werent productive for the rest of the team: this problem has now largely resolved due to the fact that were attempting multiple projects; however on Frozen Synapse it occasionally burned money. Trying to come up with the exact structure of each match also proved problematic. One-turn "Endplays" were the focus for a significant amount of time and, although these led to some significant improvements in the game, ended up being blown out of proportion. Despite the fact that these issues caused some difficulty, and were working hard on tightening up our processes for the next game, they were integral to Frozen Synapse. It was important to have the space to go wrong in this way -- allowing mistakes can be crucial to designing a game.	False Surrogate Endpoint	False Surrogate Endpoint	Cunningham
Neverwinter Nights	2002	cutting-features	From the start, there was a strong desire to make NWN a unique game distinct from the Baldurs Gate experience. While this did lead to the development of new systems that were better than those of Baldurs Gate, it also led to an excessive amount of time spent on design and prototyping of features that ultimately could not be implemented. Wed often sink a considerable amount of research into creating an innovative system, only to fall back on a similar system that worked better in the earlier Infinity engine.	False Surrogate Endpoint	False Surrogate Endpoint	Cunningham
Tropico	2001	cutting-features	After the scenario-intense RT2 and its add-ons, we were more than happy to try creating a game in which the strengths lay in randomly generated maps and sandbox-style open-ended play. From day one we worked on Tropico with this goal in mind. A lot of effort went into creating a map generator that would create pleasing, logical, and most importantly playable maps. We modeled rainfall on what we knew and could find out about meteorology. We researched vegetation, not only to find flora indigenous to a Caribbean setting but also to find out under what conditions a particular plant would thrive and how to represent that in the game. A significant amount of time went into creating realistic mountains and series, even ranges, of mountains. We even went so far as to model the terrain under the water, so that shallow beach areas and deeper waters would be accurately created. As we realized this late in the project, we scrambled to create scenarios to include. Unfortunately, our tools in this area were underdeveloped, and time had to be squeezed out of peoples schedules even to produce what we did. The result was that Tropico included a very limited number of scenarios (eight with the game and two others included in some promotional CDs) that werent nearly as involved as they could have been, and certainly werent up to the standard that we had created in RT2.	False Surrogate Endpoint	False Surrogate Endpoint	Cunningham
Magicka	2011	delays	Due to our milestone plan, we had this mentality of having to pull together This mentality resulted in not only our actually pulling together, but also our shunning existing technology, putting too much effort in things that didnt matter and just plain grinding -- MMO style. It also made us never able to cut features that would detract from the gaming experience.	False Surrogate Endpoint	False Surrogate Endpoint	Cunningham
Drakan: Order of the Flame	1999	planning	They also ended up cutting many features that did not show much game-play promise. The dart gun and the boomerang weapons were among those eliminated from the game. Even though these tasks had already been mostly completed (in terms of code) for several months, they had not yet been put into the game.	False Surrogate Endpoint	False Surrogate Endpoint	Cunningham
Scarface: The World Is Yours	2007	cutting-features	These changes meant that many scenes that had been written for the story were cut completely, and although some scenes were reappropriated they did not make as much coherent sense as the full scenes they used to be. Many characters were also cut from the game, as well as many side missions for which very specific characters had been created, cast and recorded. Those characters now were only to appear in the game world as pedestrians, which made them seem a little odd without their context. With all the ripples that the extension gave us, these changes led eventually to a much more streamlined and solid product. The extension in the amount of time we had also allowed us to plan and execute the post-production mixing, and thus gave us a huge gain in terms of final audio quality.	Feature Creep	Feature Creep	
Scarface: The World Is Yours	2007	planning	Production of the huge amounts of cinematics that we have in the game was eventually cut off around two weeks before we went off-site to Skywalker to mix the game’s audio. This gave us a mere two weeks to work on Foley performance, recording and editing for those scenes. Due to the huge amount of cinematic cut-scenes in the game, we had to prioritize the more important ones to receive the attention of full Foley, as there simply was not enough time to perform Foley for all the cut scenes we had. Our internal Foley team, Scott Morgan, Cory Hawthorne and Roman Tomazin, worked for a solid week in performing the Foley, and then a further week editing and bouncing down the Foley mixes for integration into the sessions which contained SFX and dialogue. This practically left no time to do mix-downs of the final sessions including dialogue and sound effects, so the team were put under a great deal of pressure to bounce out and mix all the cinematics for the game in both Pro Logic II encoded versions and in Dolby 5.1 six channel mixes. These were all bounced out over the course of two or three long evenings and the intention was not to touch these mixes once we got to Skywalker. However, once arriving on the stage we found we needed to add more sounds and balance the sounds in some of the cinematics, so as we came to them we re-bounced them on the mix stage. A dedicated month for Foley and premixing the cinematics is a must for future productions of this scale.	Feature Creep	Feature Creep	
Tower Bloxx	2006	cutting-features	Although we did get a 3D version of the game out at the same time and in a cost-effective manner as we had planned, we only managed to do it by making it as similar as possible with the 2D one. We had a few other cool features planned, but implementing those would require time we ended up not having	Feature Creep	Feature Creep	
Trade Empires	2001	cutting-features	Trade Empires is a good game, but it could have been better. Many of the reviewers liked the game (many three and half star or 8/10 reviews), but raves like the Imperialism games garnered were less evident. True, the budget and schedule were a lot smaller and more confining for Trade Empires, so we didnt get to lavish the same amount of detail and loving care on it. Even with those constraints, I think we could have made a better game if we had made some different trade-offs. The number one feature that reviewers missed was more feedback on how the player is doing and on the state of the world. We had a number of features in mind that would have provided this feedback. We designed a separate set of interface panels for charts and graphs. We designed a system to provide rumors of upcoming technologies, warnings and advice from the merchants. Mostly these were features that were absent from the original design, but had occurred to us during development. They would get added to the project schedule in the gravy area. Many gravy features were added. But these more time-consuming features didnt make it, as we focused our energies on robustness of the code and polishing the feature set we had.	Feature Creep	Feature Creep	
Uncharted Drakes Fortune	2008	scope	Having held ourselves up by not getting a good build pipeline in place early on, we were then playing catch-up throughout the project. A recurring theme in our postmortem discussions for Uncharted has been that, in many cases, we wished that wed started building out the game with the simple tools that became available early on, rather than waiting for the technologies or gameplay code we thought we needed to support our sometimes overly complex design or production ideas. This problem has some similarity to the tools problems we faced -- we set our goals too high, and had to bring ourselves down to earth in order to be able to move forward. For example, we had wanted to use a system of interchangeable body and clothing parts for our enemies in order to get a huge apparent variety of enemies and reinforce the reality of the world. We wanted the player to have the feeling that each enemy character was unique. The problem was that this held up our whole enemy implementation process. We couldnt start finalizing the enemies until we finally realized we didnt have time to create our parts system, and simply got on with making the enemies that are in the shipped game.	Feature Creep	Feature Creep	
Command and Conquer: Tiberian Sun	2000	feature-creep	Everybody stresses the importance of working off of a design document and not deviating from it. Unfortunately, this just isn’t realistic since every product evolves during the course of development and sometimes the original design proves to be lacking. A team has to be able to incorporate new ideas during development if the final project is to be better. However, the flip side of this idea is that the team must be able to cut features diplomatically when it is in the best interest of the project.	Feature Creep	Feature Creep	?
Command and Conquer: Tiberian Sun	2000	cutting-features	Tiberian Sun‘s development had many challenging moments when features had to be cut for one reason or another. A perfect example of this was the ability to order a limited number of units through a drop-ship loading screen before a mission. This sounded like a great idea on paper and we had already coded it and incorporated it into the game. It wasn’t until we actually played with it that we realized it just didn’t fit and had to be removed. Looking back at the project, I think we could have been more aggressive in cutting or changing certain features to make sure their returns were really worth the development investment. I’m a firm believer in the idea that less is more and that fewer but more fully developed features are the way to go. If a feature isn’t amazing, you should cut it or make damn sure it becomes amazing before you ship the product.	Feature Creep	Feature Creep	?
Hero-U: Rogue to Redemption	2019	feature-creep	We were focused on getting a playable demo for the Kickstarter, but there was clearly much more than a year of development time left to have a finished game. The scope had also increased. The original Hero-U pitch had been a 2D puzzle/RPG, which would have been relatively easy to program. But the backers, by and large, wanted something that was more like Quest for Glory.	Feature Creep	Feature Creep	?
Matt Hazard: Blood Bath and Beyond	2010	budget	Due to some of the mishaps described above, an increased scope, and the fact that it took longer to feel out the fun factor of our game than we had anticipated, we crept over our allotted budget on both time and money.	Feature Creep	Feature Creep	?
Wild 9	1998	cutting-features	Tom and Kevin are two very creative fellows. The material they came up with is enough to fill up three or four games like this one. In addition, the whole team took this game to heart and ended up coming up with suggestions of their own. We were thus faced with a situation toward the end of the project: we could not fit everything into the game. Wex’s weapon, The Rig, is normally blue. But it possesses a red mode, which is greatly under-used in the game. The red mode was initially meant to be a more powerful blue beam, but this created game play issues, as a player will sometimes want to transport enemies in the beam from one point of the level to another. The red beam would vaporize just about everything on contact, which was obviously a problem. This is one of the only design issues that was never truly fixed and the red beam, even though it made it into the game, isn’t used to its full potential.	Feature Creep	Feature Creep	
Crackdown	2009	feature-creep	Another shocking reality was that the number of coders yet to be hired was expressed in the order of tens. In a pragmatic development environment there would have been three choices: 1) increase the budget, 2) lower our ambitions, or 3) pull the plug. Unfortunately, the stakeholders were far from pragmatic, and rather than moving to jettison anything that wasnt in direct support of the clearly defined project pillars, they used the scope discussions as a forum to add yet more ideas. Several deep cuts were eventually approved (some creeping back in over the remainder of the project), but it still wasnt enough. At least we finally had a handle on the stakeholders definition of minimum content.	Feature Creep	Feature Creep	Harvey
Dungeon Siege	2002	cutting-features	Extreme ambition can be empowering, but it can also bring much pain. A large portion of Gas Powered Games consists of extraordinarily ambitious people. Every-one has their own reasons, but collectively, we all want to win, and want to win badly. While this drive helped us persevere through some of the challenges we encountered during development, it also created some new ones. Our ambition translated into a number of painful symptoms such as feature creep, over-optimism, and a project scope that was ultimately larger than our ability. The problem was compounded by the fact that nobody on the team had really worked on an action RPG before. We looked at the leading brand RPG and said to ourselves, Hey, this is a fun genre. Lets make something like this except, much, much bigger, in 3D, without loading screens, and push the technology to its absolute breaking point! Clearly we couldnt have imagined the sheer amount of work required to build the kind of RPG that we wanted. And we wanted all kinds of interesting things: lip-synching, cooperative networked level editing, dual monitor support, wavelet terrain compression, deformable terrain, and many other gems. Some of these features ultimately didnt fit into the vision of our game, while others were simply extraneous. To our credit, we killed most of these before even starting development, but we were left with many others to be enthusiastic about for months.	Feature Creep	Feature Creep	Harvey
Fallout Tactics	2001	scope	The unrealistic time limit problem was further exacerbated by the size of the game we created. Originally, 20 single-player levels and 10 multiplayer levels seemed a reasonable size for the final game. However, when we started to get flak from the Fallout fans about the game not being true to the original, we decided to link the missions together with a world map rather than a linear mission structure. This in turn led to the inclusion of random encounters and unique encounters to add extra interest while traveling between the core missions. We produced special levels for bunkers where you could reequip and change your squad. This works very well in the game but increased our workload substantially. We also hopelessly overestimated how big our maps needed to be. We ended up with some truly huge playing areas and the associated problem of having to populate them with interesting encounters. Rather than reduce the size of the maps or lose maps altogether, we decided to press on and fill them with interesting objectives. We estimate that to complete all the core and secondary objectives and see all of the multiple endings takes about 40 hours of playtime -- even for someone who knows the missions well.	Feature Creep	Feature Creep	Harvey
Heavy Metal: F.A.K.K. 2	2000	cutting-features	We were going to try to put multiplayer into the final release if we had the time, but our July deadline came so quickly that we just didnt have the time to finish it.	Feature Creep	Feature Creep	Harvey
Heavy Metal: F.A.K.K. 2	2000	feature-creep	We worked on never-ending task lists for months and months. Just when you thought you were close to being done with what you were assigned, another 30 tasks would appear on the list after a team meeting where we would flesh out the incomplete areas of the design.	Feature Creep	Feature Creep	Harvey
Jurassic Park: Operation Genesis	2003	feature-creep	We experimented with baby dinosaurs midway through the project. We tried schemes such as scaling the adult dinosaurs down to make them into babies. However, scaling adults down did not look right. Making baby dinosaurs that looked good required new baby dinosaur models and baby AI. This is similar to the work required for adding more dinosaur species. As a result, baby dinosaurs were dropped.	Feature Creep	Feature Creep	Harvey
Kingdoms of Amalur: Reckoning	2013	cutting-features	Going from a storyboard to a finished cinematic takes a long time. Once a cinematic is finished, it is very costly to change. Because we werent locked down on the major cinematic moments in the game for so long, we ended up having to cut several cinematics that we really wanted to include. The cinematics we have in the game are awesome, and we got all the major beats that we wanted, but we definitely wanted more.	Feature Creep	Feature Creep	Harvey
Last Call	2001	feature-creep	We were continually adding features to Last Call as we refined the game in response to tester feedback. As it became increasingly clear that the game had taken on a life of its own -- exceeding our expectations, and certainly exceeding SSIs expectations -- we became perfectionists. Had the title been produced independently, working at a slower pace with a smaller team, this would have been par for the course. However, we had a deadline and milestones, and eventually had to contend with an angry publisher. Last Call was relatively complicated considering the budget for the project. Users interacted with the bar environment in ways we did not expect. Even the metaphor of drink pouring was highly scrutinized and debated -- our target customer did not play games, and was not likely to pick up strange, unnatural actions.	Feature Creep	Feature Creep	Harvey
Last Call	2001	scope	Many reviewers remarked that the game lacked scope, and their observations were entirely valid. We concentrated 100 percent on making the game -- which consists entirely of characters approaching the bar, waiting, ordering, talking, and retreating -- interesting within the defined game world. Bar patrons become drunker as the night progresses. The bartender is able to flirt with the customers. Bad drinks can send a customer into a puking spell. All things considered, we might have benefited from spending less time on game nuances, and more time on adding some different activities, environments, level goals, and other elements.	Feature Creep	Feature Creep	Harvey
Middle-earth: Shadow of Mordor	2015	feature-creep	The Nemesis System started with a fairly simple idea of personal villains, then during pre-production, it went through quite a bit of feature creep which made it significantly more complex and took it further away from the core promise.	Feature Creep	Feature Creep	Harvey
Music Up	2002	scope	Music Up marked the first time that UBI China’s designers made a game independently, and the structure was changed continuously. The designers were constantly developing new ideas and the engine studio therefore always needed to change to accommodate the growing design. This, of course, led to increasing instability. More seriously, market demands meant that the game had to be complete for summer of 2002; time had run out for such changes but the designers still couldn’t help themselves from making more improvements.	Feature Creep		
Republique	2016	feature-creep	We began with an emergency motion capture session to get unique movements and poses for Hope that we never needed previously.	Feature Creep	Feature Creep	Harvey
Sunless Sea	2015	scope	This was a product of two things: our relative inexperience, and the way that scope gradually increased.	Feature Creep	Feature Creep	Harvey
The Adventures Of Shuggy	2011	scope	Like most projects, Shuggy started out fairly simple, and then more and more features kept getting added. As well as adding the various different game mechanics, I had the co-op, challenge, and head-to-head modes, as well as some grand plans to have various minigames themed around some of the mechanics. The minigames actually got implemented, but never got polished enough to make it into the final product, after Sierra suggested that there might be a bit much going on. Since then, Ive released the mini-games as separate Indie titles. Theres A Bombs Way, based around the floating jump and rotating mechanics which is like a version of the old arcade hit Bomb Jack, the game the floating jump was based on.The Tower: A Bombs Climb is based around the zombie game mechanic where the player doesnt have direct control over the character, but can power up his jump to propel him up a never ending tower. Im not a big fan of the head-to-head mode; I dont think its that interesting, and while I quite like the challenge mode, I think it would have been best if Id just implemented the single player and co-op modes from the beginning... and added support for playing co-op online. Its too easy to get carried away when you come up with an idea for something, but when youre working with such a small team, Ive learned that you really need to keep things simple and focus on the best aspects of your game.	Feature Creep	Feature Creep	Harvey
Trine	2010	planning	The projects budget and resources were in constant motion. Instead of cutting down design and scope in the early stages, we pumped up production resources with a "yes we can" attitude and gradually added more people to the project. Luckily, our empty bank account kept us from going overboard, otherwise we probably would have made the fatal mistake of adding too many people to a delayed project. Programmers had too many items on their to-do lists, and instead of rebelling and throwing scissors (like the artists might have), the programmers cut corners in their code and crammed in as much as they could in as little time as possible. This was known by the management -- and was essentially a continuation of practices from the early days of the cash-stripped company -- but the problems started to become evident with Trine, especially during the testing phase where weird and "unfixable" bugs occurred. We neglected proper design documentation, production plans, programming plans and sometimes even art supervision. Everything happened at the last minute. In hindsight its great to reminiscence how the team pulled together, but it certainly did not feel like the right way to do things at the time. Because of indecisiveness and procrastination, the final story -- not just a revision of it, but the whole thing -- was written two days before recording was scheduled to begin in March 2009, a few months before the scheduled gold master date. The night before recording, a new, important revision was written. Another day would probably have helped and made the story more sensible -- we doubt most gamers understand the story about the three artifacts (and in fact, theres even a notable inconsistency in the narrators loading screens -- we lost the plot in the wee hours of the morning ourselves).	Feature Creep	Feature Creep	Harvey
Tycoon 2: Marine Mania	2007	team	We introduced a concept that we called “Feature Groups” in Marine, and really the idea was to simply formalize the way people tended to work anyway… that is, by forming small groups of people from art, engineering and design who worked closely together to implement features. The idea was that feature design, task analysis, implementation quality review, etc. would all be performed by this group. But the groups ending up including anyone who might ever work on that feature, so they ended up being quite large. These large meetings often felt inefficient and poorly focused. Instead of zeroing in on the tasks at hand, they’d often turn into brainstorming sessions, and one thing we didn’t have at that point was a lack of ideas! We did end up reining them in, and it took everyone’s effort to keep them on an agenda and stop them from going down the inevitable tangents that would come up. In the end, we fell back onto the way we always tended to work and the groups went back to being smaller groups comprised of the key people working on the feature. In a way though it wasn’t all bad because we did draw some good ideas from the unexpected brainstorming, and the team members who participated ultimately had a much clearer idea of the product we were building.	Feature Creep	Feature Creep	Harvey
Whacked	2002	feature-creep	The first pitch of Whacked to Microsoft included a Winsock networking system that I wrote in about two weeks. It was a basic LAN implementation that showed networked Whacked could be done by Presto. Microsoft decided that they did not want it included in the final product. I was disappointed but they were the publisher and it was their choice. However, they returned in November 2001 to ask for not just LAN but full online support. This was about six months before our original ship date in the spring of 2002. Max and I saw this as not just an opportunity for Presto to ship a launch Live title but also a personal test of ourselves. We snapped up the chance despite the difficulty the extension would cause. Our launch date would shift to October 31 and we would be held to that like no other launch date we had ever experienced. As our product manager Thomas Zucotti put it, We broke ourselves into jail.	Feature Creep	Feature Creep	Harvey
Drakan: Order of the Flame	1999	planning	Drakan was originally slated for release in February 1999, but ended up being released six months later. Even with careful scheduling and task planning, we failed to meet the final deadlines. Part of the problem was that we didn’t account for the time the team would spend creating versions of the game for E3 and for magazine and Internet demos. Each demo pulled nearly two weeks of time away from our normally scheduled tasks. The majority of the scheduling problems were due to feature creep and other improvements that were considered necessary during development. In March 1998, the design team was faced with a mountain of work ahead in order to complete the 14 original levels as designed. After careful consideration, the designers decided to spend their efforts on enlarging and improving upon the ten best level designs.	Feature Creep	Feature Creep	Harvey
Mini Metro	2016	feature-creep	We structured our work on a very casual basis. We’d have rough ideas about what we wanted to work on next but no formal plan of who was doing what and when. This led to feature creep “Oh, it’d be cool if we did this…” and to us having no realistic idea of the final scope or how long it would take us to get there.	Feature Creep	Feature Creep	Harvey
NyxQuest Kindred Spirits	2010	feature-creep	We all know about the problems that arise if there is no clear designer in a game. When we first started the development, my intention was to focus efforts on the design of the game and at the same time on gameplay programming. Because of the amount of work involved in programming a game of this kind, we had to keep going and going with the development of features. We reached a point where we had to keep getting things done, and stopping becomes risky. Five months into the development we noticed that we had a lot of gameplay mechanics, situations and that the game was going way over the top. We noticed this and focused on creating a list of the most important features and gameplay elements we wanted to include in the game. We agreed to follow that list and only design levels using those features and elements, and only add more if we all agreed. Obviously we added some more features later, but those were hand-picked and deeply evaluated before spending time on them. Lesson learned: No designer + Feature creep = chaos! Take your time to find the fun parts of the game and focus into polishing those. Once those features are complete, decide if there is time for more.	Feature Creep	Feature Creep	Harvey
Natural Selection 2	2013	scope	Natural Selection 2 was an ambitious follow-up to our free independent Half-Life mod, Natural Selection. Our original plan was to make a quick commercial sequel on the Source engine to start making money. Instead, we spent six tough years developing our own engine and almost going out of business multiple times. We also decided we wanted to make the most moddable game ever. We did this by implementing 100 percent of our game code in Lua. There wasnt a Lua IDE on the market that we thought was good enough, so of course we spent more time to write our own (called Decoda). The final product was more commercially successful than we had originally hoped, but that came at a big cost. The game was too large in scope, took too long, and because of that, ended up being very high-risk. If we could do this over, we would have reduced the scope of the game significantly, or made a smaller game, so we could get cash flow positive sooner.	Feature Creep	Feature Creep	Harvey
Ratchet & Clank	2016	feature-creep	We always forget to take ambition into account. We’re never satisfied with just the story cutscenes, just the basics. We want elegant transitions between every gameplay segment. We want NPCs to have more fluidity and expression than we initially planned.	Feature Creep	Feature Creep	Harvey
Ashes of the Singularity	2015	crunch-time	I was vocally against having any sort of campaign in Ashes of the Singularity. We didn’t have one in Sins of a Solar Empire and I saw no reason to have one in this game either. Despite being a Diamond StarCraft player and having worked on StarCraft: Retribution, I have never played a StarCraft campaign. My concept of the game’s Ascendancy Wars was essentially a large map of the galaxy with dozens of planets with the player and several AI factions trying to conquer it planet by planet. However, during development our friends at Uber had introduced a similar concept into their game, Planetary Annihilation. Combined with Oxide’s strong recommendation that we needed a story-driven campaign and the early access feedback, I reluctantly agreed to have a campaign in the game. Having a campaign was the right decision, but I wish we had planned on having one from the outset so that we would have had more time to flesh it out and polish it. You can see this in the reviews where some reviewers only played the campaign which was designed only as an introduction to the heart of the game: the infinitely replayable sandbox part. On a given project like this, you make thousands of decisions. Not recognizing that PC gamers have come to expect highly polished, story driven campaigns was a mistake. Fortunately, we are in a position to not just update the campaign with voice-overs and more content, we can ensure that future campaigns we add to the game are given the kind of depth that players seem to enjoy.	Feature Creep: the team was indecisive about including a singleplayer campaign, they decided to include it halfway through the development and could not polish it properly	Feature Creep	Harvey
Cel Damage	2002	planning	Essentially, our strategic preplanning was stillborn. Every week, we had to revise our perceptions of what the game would really be, which frustrated our attempts to describe the game to prospective publishers at the beginning of 2001. Different staff members had different ideas of what our game would finally end up looking and playing like. Fortunately, once publishers and press played the game for themselves, the core of Cel Damages identity as a cartoon-based vehicular combat game became self-evident. (...) Our inexperience in console game development caught up with us about three months away from the end of the project. For the better part of two years, we had spent all of our efforts on developing in-game assets and gameplay. As our delivery date to EA came into focus, we realized that we still needed to get a fair bit of content underway, including a solid front-end interface, music, cutscenes, voice acting, foley sound, and sound effects. Once we had our budget in place, we scrambled to pull together a stack of contracted, out-of-house assets.	Fire Drill	Fire Drill	W. H. Brown et al.
Heavy Gear 2	1999	crunch-time	After experiencing the high quality of our second prototype, people at Activision began to get very excited about the future of Heavy Gear II. We were given a highly favorable reception at E3 in 1998, where we finally revealed the game. We subsequently released a playable demo that met with similar acceptance. Our marketing staff, which had been pushing this title from the start, finally had the leverage it needed to differentiate Heavy Gear II from its competitors. Magazine articles began to run, OEM deals were made, and shelf displays were created as everyone anticipated the forthcoming release. Only the development team knew how alarmingly behind schedule the game actually was, however. This was due in part because of some unfortunate turnover in our staff, but the main factor was the amount of time and effort we had allocated to creating the demo. We had hit roadblocks in the past and always rebounded in sterling fashion, so nobody on our team allowed themselves to believe that the demo would cause us to miss our target ship date.	Fire Drill	Fire Drill	W. H. Brown et al.
Star Wars DroidWorks	1998	crunch-time	DroidWorks also had its share of timing problems. We originally planned a fairly luxurious development cycle that had us landing on shelves in time for Christmas 1998. About half way through production, after looking at the numbers, Marketing decided we should aim for Labor Day instead, the official kick-off of the back-to-school buying season. Everyone agreed, so we took a deep breath, re-worked major pieces of the design, and made some heavy cuts. The team rallied behind the new date, and we managed to hit our sign-off date	Fire Drill	Fire Drill	W. H. Brown et al.
System Shock 2	1999	team	In addition, psychological factors, such as lack of ownership and training issues (stemming from unfamiliarity with levels) speak very strongly against transferring people from one task or level to another. Nevertheless, there were several benefits of our procedure - mostly the ability to employ particularly talented individuals to pinch hit on particular levels, and the psychological benefits of completing architectural work early in the schedule.	Fungible Teams	Fungible Teams	Cunningham
A Reckless Disregard for Gravity	2010	planning	Stop us if youve heard this one: after the initial planning stages, we never substantially updated our design document. Towards the middle of development, the game looked significantly different from our original plans, so we threw the plans out and flew by the seat of our pants.	Glass Case Plan	Glass Case Plan	Silva et al.
A Boy and His Blob	2010	planning	Level design was also an issue. The huge number of levels (80 in total) required that everything be designed and iterated on numerous times to get our desired level of quality. Unfortunately, the Blobs transformations and enemy patterns were not always finished (in part due to the slow art pipeline), and the collision system was not done. Levels were being built around gameplay that was not finalized, and then the gameplay was tweaked further, leaving the elaboratelyconstructed puzzles in ruins. Programmers and level designers had to compromise on who was going to fix what. Overall, creating everything concurrently was painful, but the process provided us with a stable base for future projects. (...) The schedule for Blob, like many schedules in the game industry, was created without detailed knowledge of how long everything was going to take. The result: we had a bunch of dates to hit based on our best guesses, which ended up less-than-perfectly accurate. Still, we were committed to these dates, and there never seemed to be time to catch up for the next delivery. Focus sometimes shifted to "just get the content in!" in order to meet the milestones. Because we had to rush through the implementation to meet the milestones, we ended up with less-than-desirable foundations for some of our levels and transformations. New implementations and levels were designed to conform to the broken structures, and resulted in a cascade effect when we finally went in to fix some of the early problems. Some problems were simply too ingrained to fix. If we had allocated the time to do everything correctly in the first place, we would have probably ended up with a more solid game.	Glass Case Plan	Glass Case Plan	Silva et al.
Fireteam	1999	communication	As we were developing Fireteam, our attention was also focused on growing our new company. We found that it was easy to forget what the contractors were doing and how they fit into the project. We made the naïve assumption that they would be willing to work with an evolving specification. However, when a project is fix-bid, an external developer will only do so much tuning and reworking of code before he or she starts charging you for it. If you don’t manage this relationship closely, these costs add up very quickly. For example, the cost for developing the community web pages doubled from the original quote because the design evolved. The final version of the community web pages was great, but a more thoughtful initial design specification and better management of the process would have saved Multitude significant money and time.	Glass Case Plan	Glass Case Plan	Silva et al.
FishEd	2006	planning	Despite my industry experience working on hundreds of projects and meeting thousands of deadlines, I’d never been in the position where I’d had to program under pressure. All of my past programming experience had been within an extremely flexible freelance framework, and like many hobbyist programmers I was simply way too comfortable in old habits and working practices. Planning a schedule was one thing, keeping to it was entirely another, and at times I suffered severe whiplash watching the deadlines whooshing past. This lack of experience was particularly evident when bugs surfaced. The support of friends and forums can only extend so far, and the more complicated routines would be impossible to post online for evaluation. Coupled with the fact that there was simply no time scheduled in to fix bugs, addressing problems and making tweaks was left until the very last minute.	Glass Case Plan	Glass Case Plan	Silva et al.
